Company Name,Shares Equivalent Held(actual),Company Name (DT),Current Position
vTv Therapeutics Inc.,121089,Gurit Holding AG,111
"Guirenniao Co., Ltd.",273373,Uni-Select Inc.,13415
"Henan Zhongfu Industrial Co.,Ltd",861000,Inwido AB,19694
"Bode Energy Equipment Co., Ltd",147258,Consus Real Estate AG,15699
"Arcimoto, Inc.",50396,"Evolving Systems, Inc.",153037
"Guangdong Orient Zirconic Ind Sci & Tech Co., Ltd.",175000,Cresud SA Sponsored ADR,11479
"Telling Telecommunication Holding Co.,Ltd",214600,ENGlobal Corporation,133400
"Onconova Therapeutics, Inc.",66168,"Polar Power, Inc.",28798
Moelis Australia Limited,64901,"Meiko Electronics Co., Ltd.",7000
KAISA Jiayun Technology Inc.,306220,ADVA AG Optical Networking,15009
Largo Resources Ltd.,148566,Photo-Me International plc,96000
Stella International Holdings Limited,106000,Telit Communications S.p.A.,59000
Burkhalter Holding AG,2211,WPT Industrial Real Estate Investment Trust,8435
Nanoco Group plc,1107419,"ADDvantage Technologies Group, Inc.",74073
Dynasil Corporation of America,193439,Paramount Gold Nevada Corp,149558
"TIANJIN FUTONG XINMAO SCIENCE&TECHNOLOGY CO.,Ltd.",302600,Predictive Oncology Inc,155934
"Shanghai Hongda Mining Co., Ltd.",278582,Tonix Pharmaceuticals Holding Corp.,85037
"Chunghsin Technology Group Co., Ltd",225463,JiangSu Yabaite Technology Co. Ltd. Class A,611343
"Jilin Liyuan Precision Manufacturing Co., Ltd.",943730,Stillfront Group AB,4789
PT Intiland Development Tbk,5576500,"Antong Holdings Co., Ltd. Class A",286860
Equital Ltd.,5799,Xvivo Perfusion AB,6440
Kinder Morgan Canada Limited,14993,Scandi Standard AB,17826
Nymox Pharmaceutical Corporation,92057,STRATEC SE,1728
SeSa S.p.A.,4219,TKP Corp,2400
"Nanjing Quanxin Cable Technology Co., Ltd.",91630,PPDAI Group Inc. Sponsored ADR Class A,25962
"P&F Industries, Inc.",24366,Maytronics Ltd.,15771
Ascopiave S.p.A.,39986,Diffusion Pharmaceuticals Inc.,39424
Kendrion N.V.,8246,Premier Gold Mines Limited,66661
"Immunic, Inc.",11523,"Navidea Biopharmaceuticals, Inc.",177591
"GMO Financial Holdings, Inc.",29395,Evertz Technologies Limited,7723
Oriental Times Media Corporation,576956,Alliance Pharma plc,139000
Sichuan Western Resources Holding Co. Ltd.,315200,Energix-Renewable Energies Ltd.,55916
"Gansu Mogao Industrial Development CO.,LTD.",174820,John Menzies plc,23000
Advanced Medical Solutions Group plc,59236,Good Resources Holdings Limited,7930000
"Guangdong Anjubao Digital Technology Co., Ltd.",220636,Ferrotec Holdings Corporation,12700
Maytronics Ltd.,20353,Glen Burnie Bancorp,10095
"HeiLongJiang HeiHua Co.,Ltd",286860,Sportech PLC,305000
Italian-Thai Development Public Company Limited,2448500,"XCel Brands, Inc.",76321
FinTech Group AG,5222,Summit Real Estate Holdings Ltd,11104
Watkin Jones Plc,59358,ProQR Therapeutics N.V.,12023
"BioHiTech Global, Inc.",85352,Storytel AB Class B,9594
ID Logistics Group SA,950,"Revolution Lighting Technologies, Inc.",445362
OneSmart International Education Group Limited,22219,Endeavour Silver Corp.,53185
Cinedigm Corporation,165828,"TSR, Inc.",23470
Protector Forsikring ASA,31186,Latecoere SA,25577
"Spic Yuanda Environmental-Protection Co.,Ltd.",192261,Steyr Motors Co. Ltd. Class A,519800
"ICC Holdings, Inc.",11395,"Chang Jiang Runfa Machinery Co., Ltd. Class A",181399
"Nittoku Co., Ltd.",6299,F.I.L.A. - Fabbrica Italiana Lapis ed Affini S.p.A.,7337
"Myomo, Inc.",205011,"Beijing HualuBaina Film & TV Co., Ltd. Class A",124000
"Valhi, Inc.",68767,Telford Homes Plc,25038
"Insignia Systems, Inc.",150437,Theratechnologies Inc.,25449
Chargeurs SA,8422,Mianyang Fulin Precision Machining Co. Ltd. Class A,120000
Victoria plc,26065,Rovio Entertainment Oyj,14292
McLeod Russel India Limited,943264,B2Holding ASA,93381
mobilezone holding ag,15955,Northern Drilling Ltd.,22900
"Shanghai Cooltech Power Co., Ltd.",157500,"Tubacex, S.A.",32732
Endeavour Silver Corporation,60585,Orascom Construction Plc,21054
"Yongxing Special Materials Technology Co., Ltd.",75068,Recticel SA,12937
Apollo Investment Corporation,9100,Burkhalter Holding AG,1416
Northern Drilling Ltd.,45001,Avon Rubber p.l.c.,6361
"Solaria Energía y Medio Ambiente, S.A.",26356,Industrial Building Corp. Ltd.,48006
ADVA Optical Networking SE,21495,Sensirion Holding AG,2860
"Ningxia Yinglite Chemicals Co., Ltd",131734,IG Design Group plc,14304
New Wave Group AB (publ),25100,"Priority Technology Holdings, Inc.",13138
"ADDvantage Technologies Group, Inc.",74073,Albioma,3843
Continental Materials Corporation,10372,"Yume No Machi Souzou Iinkai Co., Ltd.",6800
"Ra Medical Systems, Inc.",81341,Kambi Group plc Class B,7949
Ponsse Oyj,4920,"Shanghai U9 Game Co., Ltd. Class A",318000
Flex LNG Ltd.,15083,Ponsse Oyj,3207
Lucara Diamond Corp.,189295,Odfjell Drilling Ltd.,33315
"Priority Technology Holdings, Inc.",25447,"Yield10 Bioscience, Inc.",103390
"Akers Biosciences, Inc.",323432,Huadian Energy Co. Ltd. Class A,382900
HORNBACH Baumarkt AG,7861,SeSa S.p.A.,2514
Inwido AB,25931,"Liuzhou Liangmianzhen Co., Ltd. Class A",149993
"American Realty Investors, Inc.",10852,Dynasty Fine Wines Group Limited,1342000
KT Corporation,12822,"GMO Financial Holdings, Inc.",18000
Five Star Senior Living Inc.,269120,"Capricor Therapeutics, Inc.",29421
"Yumeshin Holdings Co.,Ltd.",18502,Tamedia AG,881
"Yume no Machi Souzou Iinkai Co., Ltd.",10799,"Retractable Technologies, Inc.",133914
"Approach Resources, Inc.",799344,Kongsberg Automotive Holding ASA,130440
"Ocean Bio-Chem, Inc.",44012,Neonode Inc.,44970
OHB SE,4118,MLP SE,19225
"Organización Soriana, S. A. B. de C. V.",116624,LeoVegas AB,24274
"Xcel Brands, Inc.",76321,Advantage Oil & Gas Ltd.,67056
Redde plc,97833,Medical Facilities Corporation,10217
SoftBank Technology Corp.,7672,Savaria Corporation,10457
"Hancock Jaffe Laboratories, Inc.",147788,"Sypris Solutions, Inc.",123269
"Tubacex, S.A.",46041,accesso Technology Group Plc,7538
iFresh Inc.,72867,"Shenwu Energy Saving Co., Ltd. Class A",361405
Aubay Société Anonyme,4065,flatex AG,3429
"Guangdong Silver Age Sci & Tech Co.,Ltd.",165995,Emperor International Holdings Limited,375886
"Guangdong Dynavolt Renewable Energy Technology Co., Ltd.",331383,"CannTrust Holdings, Inc.",39986
"Diversified Restaurant Holdings, Inc.",374625,"Uzabase, Inc.",4300
"Flanigan's Enterprises, Inc.",6352,Tongda Hong Tai Holdings Ltd.,706244
F.I.L.A. - Fabbrica Italiana Lapis ed Affini S.p.A.,9006,"iBio, Inc.",132416
BlackRock Greater Europe Investment Trust plc,29266,"Yumeshin Holdings Co., Ltd.",12700
Paradox Interactive AB (publ),10204,Freehold Royalties Ltd.,15052
RaySearch Laboratories AB (publ),8355,TORM PLC Class A,11218
"FuelCell Energy, Inc.",397429,PT Berlian Laju Tanker Tbk,25926000
OP Financial Limited,619960,Bufab AB,8863
Kongsberg Automotive ASA,218585,Eltel AB,39721
Stillfront Group AB (publ),5571,"Baofeng Group Co., Ltd. Class A",120363
PEDEVCO Corp.,91437,Innate Pharma SA Class A,13203
ENGlobal Corporation,133400,STO SE & Co. KGaA Vorz.Akt. ohne Stimmrecht,885
"Biocept, Inc.",155963,Proto Corp.,8700
Major Drilling Group International Inc.,31224,Oeneo SA,7888
Anglo Pacific Group Plc,57301,"iFresh, Inc.",72867
Puncak Niaga Holdings Berhad,2028000,American Shared Hospital Services,31680
Freeman FinTech Corporation Ltd.,5966375,FACC AG,7536
"NanoViricides, Inc.",613568,NeuBase Therapeutics Inc,26597
Oncopeptides AB (publ),10026,New Wave Group AB Class B,13462
Athabasca Oil Corporation,252048,"ProPhase Labs, Inc.",42027
"Forward Industries, Inc.",115757,Pinnacle Investment Management Group Limited,30075
"Revolution Lighting Technologies, Inc.",449311,Elco Ltd.,3866
"Aytu BioScience, Inc.",95269,"LAC Co., Ltd.",5700
"Harbin Churin Group Jointstock Co., Ltd.",631198,"Bengo4.com, Inc.",2000
Camurus AB (publ),14723,"Oragenics, Inc.",181701
Emperor International Holdings Limited,583704,China Aviation Oil (Singapore) Corporation Ltd,95100
Theratechnologies Inc.,32917,Assystem SA,2066
The Reject Shop Limited,97133,Purplebricks Group Plc,61000
Qualstar Corporation,23492,Compagnie des Alpes SA,3141
Orascom Construction PLC,21054,AGF Management Limited Class B,22424
Telit Communications PLC,65725,"Software Service, Inc.",900
"Magyar Bancorp, Inc. (MHC)",10861,Aimia Inc.,30546
ABC arbitrage SA,18682,Grindrod Shipping Holdings Ltd.,18079
"Navidea Biopharmaceuticals, Inc.",179985,Wajax Corporation,7466
"Suzhou China Create Special Material Co.,Ltd.",182800,Kinder Morgan Canada Ltd.,10070
Summit Real Estate Holdings Ltd,12039,"NuFlare Technology, Inc.",1200
THQ Nordic AB (publ),5467,LNA Sante SA,1532
FACC AG,10480,"SunLink Health Systems, Inc.",57952
Scapa Group plc,43176,"CPI Card Group, Inc.",33915
Eltel AB (publ),58842,Total Energy Services Inc.,16022
TKP Corporation,2899,Catena Media plc,13686
Stratec SE,1738,Tinexta SpA,6121
WPT Industrial Real Estate Investment Trust,9373,Ashtrom Group Ltd.,9787
Recticel SA/NV,14628,"EM Systems Co., Ltd.",5400
Astrotech Corporation,59016,"Diversicare Healthcare Services, Inc.",25008
"Evolving Systems, Inc.",153037,Dynatronics Corporation,50484
"SHIFT, Inc.",2799,COLTENE Holding AG,975
Shop Apotheke Europe N.V.,3420,OP Financial Limited,332000
Central Asia Metals Plc,54948,Chorus Aviation Inc.,13821
Solitario Zinc Corp.,443506,"ENIGMO, Inc.",7600
Ferrotec Holdings Corporation,14601,Technical Communications Corporation,20218
"Rexahn Pharmaceuticals, Inc.",56698,"Document Security Systems, Inc.",161747
"Uzabase, Inc.",5399,Pulmatrix Inc,87634
Axactor SE,72167,Trican Well Service Ltd.,104937
Japfa Ltd.,355517,"Nissin Foods Co., Ltd.",110000
Investor AB (publ),2586,Kendrion N.V.,4116
Ero Copper Corp.,7708,iomart Group plc,19000
CPS Technologies Corporation,121991,Exchange Income Corporation,2801
Storytel AB (publ),10904,Harmony Gold Mining Co. Ltd. Sponsored ADR,34821
iomart Group plc,29342,EXMAR NV,11728
PKSHA Technology Inc.,3000,Dicker Data Limited,16642
Oisix ra daichi Inc.,9499,OneMarket Ltd.,165360
"Beijing Huaye Capital Holdings Co.,Ltd",917056,Climeon AB Class B,8281
"Guangdong Sky Dragon Printing Ink Group Co., Ltd.",269170,Zomedica Pharmaceuticals Corp.,295167
Surteco Group SE,4933,"Cleveland BioLabs, Inc.",52874
"Conifer Holdings, Inc.",32294,Serica Energy PLC,57000
"Meiko Electronics Co., Ltd.",8498,Cardinal Energy Ltd.,40713
Good Resources Holdings Limited,7930000,Major Drilling Group International Inc.,22856
Odfjell Drilling Ltd.,37756,"Oisix ra daichi, Inc.",5700
Paramount Gold Nevada Corporation,149558,Frontier Developments Plc,6000
Wajax Corporation,9463,"Qutoutiao, Inc. Sponsored ADR Class A",19070
"FTE Networks, Inc.",193966,"HireQuest, Inc.",13333
"Atlas Financial Holdings, Inc.",288722,SolGold Plc,214547
Cardinal Energy Ltd.,62404,Nordic Nanovector ASA,17629
Tobii AB (publ),30603,MYOS RENS Technology Inc.,48910
"Lazydays Holdings, Inc.",26516,Boozt AB,13099
"Sypris Solutions, Inc.",123269,AeroCentury Corp.,10188
Biocartis Group NV,15935,C-MER Eye Care Holdings Limited,120000
Trican Well Service Ltd.,137503,"Japan Meat Co., Ltd.",4400
La Doria S.p.A.,11723,Axactor SE,33912
"Viveve Medical, Inc.",1368664,"DuZhe Publishing&Media Co.,Ltd. Class A",93800
"Obrascón Huarte Lain, S.A.",95509,"Industrial Services of America, Inc.",72997
LeoVegas AB (publ),31514,eDreams ODIGEO SA,15443
PDS Biotechnology Corporation,21986,Probi AB,2285
China Aviation Oil (Singapore) Corporation Ltd,133018,Jianpu Technology Inc ADR Class A,18854
Total Produce plc,82398,"Cool Holdings, Inc.",43500
Bufab AB (publ),10646,MBB SE,1025
"Japan Meat Co.,Ltd.",5899,"Grupo Empresarial San Jose, S.A.",7653
Advantage Oil & Gas Ltd.,79485,"FuelCell Energy, Inc.",396087
TORM plc,13667,PTT Exploration & Production Plc,15742
Harmony Gold Mining Company Limited,34821,Fairwood Holdings Limited,21000
"Retractable Technologies, Inc.",133914,Magellan Aerospace Corporation,5474
TK Group (Holdings) Limited,245984,Karo Pharma AB,17279
MLP SE,21315,"Japan Investment Adviser Co., Ltd.",4000
Alliance Pharma plc,139411,ORO Co. Ltd.,3000
Altech Corporation,8027,"Ercros, S.A.",34746
IQE plc,167666,bet-at-home.com AG,1065
Total Energy Services Inc.,21879,Speedy Hire Plc,105961
Loma Negra Compañía Industrial Argentina Sociedad Anónima,21110,Kogan.com Ltd.,19635
ROCKWOOL International A/S,565,X Financial Sponsored ADR Class A,17767
"NuFlare Technology, Inc.",1600,Brooks Macdonald Group plc,2816
Stelco Holdings Inc.,11888,"Salarius Pharmaceuticals, Inc.",4776
Premier Gold Mines Limited,72546,Healios KK,4900
"Mianyang Fulin Precision Machining Co., Ltd.",120000,Blue Square Real Estate Ltd,1454
"Summer Infant, Inc.",245409,Altech Corporation,4180
SolGold Plc,395332,Camurus AB,7664
Oeneo SA,9374,Inter Far East Energy Corp. Public Co. Ltd.(Alien Mkt),5655044
Neonode Inc.,44970,Hotel Chocolat Group Plc,14100
"Changjiang Runfa Medicine Co., Ltd.",181399,"TMAC Resources, Inc.",14131
Glen Burnie Bancorp,10095,Costain Group PLC,33257
Urban&Civic plc,26395,Avalon Holdings Corporation Class A,25600
Steyr Motors Corp.,519800,InVivo Therapeutics Holdings Corporation,85892
Live Ventures Inc.,13874,Medartis Holding AG,1173
"Beijing HualuBaina Film&Tv Co., Ltd.",124000,Pendragon PLC,401112
Orascom Development Holding AG,6906,Athabasca Oil Corporation,117277
"Polar Power, Inc.",28798,NNIT A/S,4031
"Japan Investment Adviser Co., Ltd.",6000,Elan Corp.,3900
"Aethlon Medical, Inc.",402214,"Socket Mobile, Inc.",27697
IG Design Group plc,14304,CTI Industries Corporation,19402
Zomedica Pharmaceuticals Corp.,383154,Trio-Tech International,21684
PPDAI Group Inc.,25962,Trans World Entertainment Corporation,12414
CPI Card Group Inc.,35315,"Nishimoto Co., Ltd.",1700
Milestone Scientific Inc.,134487,"NTN Buzztime, Inc.",16227
"Obalon Therapeutics, Inc.",47387,ELMOS Semiconductor AG,2796
Gulf Marine Services PLC,1484660,Surge Energy Inc.,63405
ProQR Therapeutics N.V.,13720,"Armata Pharmaceuticals, Inc.",15151
Grindrod Shipping Holdings Ltd.,18079,"Ritter Pharmaceuticals, Inc.",56210
Aquafil S.p.A.,13023,"AMERI Holdings, Inc.",171243
Cox & Kings Limited,1815935,"Vaxart, Inc.",89209
Latécoère S.A.,23343,Jumei International Holding Ltd Sponsored ADR Class A,24260
"TSR, Inc.",23470,"Energy Focus, Inc.",145247
Tuniu Corporation,29453,"Sparx Group Co., Ltd.",28300
AGF Management Limited,22010,Rolls-Royce Holdings PLC Non-Cum Red Pfd Registered Shs C Entitlement July 2019,1111008
"Ercros, S.A.",41779,Canfor Pulp Products Inc.,8359
Bio-on S.p.A.,4400,Aubay SA,1649
"Avinger, Inc.",83575,VPower Group International Holdings Limited,176000
Feintool International Holding AG,1543,Obrascon Huarte Lain SA,46209
Aceto Corporation,722825,ABC arbitrage SA,8272
Numis Corporation Plc,32414,"Schmitt Industries, Inc.",25576
Purplebricks Group plc,61948,"Cyclacel Pharmaceuticals, Inc.",106172
Huadian Energy Company Limited,382900,"Stabilis Energy, Inc.",10108
"Shenwu Energy Saving Co., Ltd.",361405,LVMC Holdings Co. Ltd.,23151
"Software Service, Inc.",899,"DIGITAL HEARTS HOLDINGS Co., Ltd.",5600
Frontier Developments plc,7248,"SPAR Group, Inc.",82392
Assystem S.A.,2175,RM plc,18877
PT Berlian Laju Tanker Tbk,25926000,"Hinokiya Group Co., Ltd.",2900
"John Wiley & Sons, Inc.",2056,El.En. S.p.A.,2806
DiaMedica Therapeutics Inc.,34238,Ramirent Oyj,5444
EL.En. S.p.A.,4169,Integrated Research Limited,28877
"Shanghai U9 Game Co.,Ltd.",318000,Basler AG,1249
"Liuzhou Liangmianzhen Co., Ltd.",149993,Hadera Paper Ltd,954
Frontera Energy Corporation,9081,"Barnwell Industries, Inc.",48526
Tongda Hong Tai Holdings Limited,746244,"Japan Asset Marketing Co., Ltd.",65400
Dundee Precious Metals Inc.,23889,"New Concept Energy, Inc.",29463
"FSB Bancorp, Inc.",5315,Bio-On SpA,2300
"BIO-key International, Inc.",135370,"SELLAS Life Sciences Group, Inc.",476369
Sto SE & Co. KGaA,862,PT Sigmagold Inti Perkasa Tbk,14934100
"Oragenics, Inc.",181701,Orascom Development Holding AG,3473
Lithium Americas Corp.,25306,"Fujio Food System Co., Ltd",2200
Nordic Nanovector ASA,27110,Molecular Partners AG,3890
"Baofeng Group Co., Ltd.",120363,"Neo Performance Materials, Inc.",5670
eDreams ODIGEO S.A.,20811,Spherix Incorporated,20739
Savaria Corporation,9547,Kvaerner ASA,36462
accesso Technology Group plc,7538,"IZEA Worldwide, Inc.",101022
Canfor Pulp Products Inc.,12359,Humana AB,9035
Humana AB (publ),16807,Green Organic Dutchman Holdings Ltd.,22500
"Hinokiya Group Co.,Ltd.",5000,"YAMADA Consulting Group Co., Ltd.",2800
"Taronis Technologies, Inc.",41602,DarioHealth Corp.,109199
Healios K.K.,7298,"NovaBay Pharmaceuticals, Inc.",29926
Corby Spirit and Wine Limited,6492,OHB AG,1367
Amtek Auto Limited,2142138,Grand Canal Land Public Co. Ltd.,557000
"iBio, Inc.",132416,"kabu.com Securities Co., Ltd.",9700
PT Lippo Cikarang Tbk,862800,Sioen Industries NV,1798
"Industrial Services of America, Inc.",72997,Aquafil SpA,5527
"Home Federal Bancorp, Inc. of Louisiana",2617,"Neuralstem, Inc.",8277
Investis Holding SA,1173,"Professional Diversity Network, Inc.",20497
EP Energy Corporation,2387472,"Staffing 360 Solutions, Inc.",31036
Qutoutiao Inc.,19070,Milestone Scientific Inc.,134487
Serica Energy plc,57417,"Dare Bioscience, Inc.",56579
C-MER Eye Care Holdings Limited,123982,"BroadVision, Inc.",33951
American Shared Hospital Services,31680,VERBIO Vereinigte BioEnergie AG,5911
"SPAR Group, Inc.",82392,SoftBank Technology Corp.,2300
Gemphire Therapeutics Inc.,187588,Lithium Americas Corp.,12706
B2Holding ASA,103624,"Summit Wireless Technologies, Inc.",40294
Molecular Partners AG,5315,"Edison Nation, Inc.",20400
Medical Facilities Corporation,13655,TK Group (Holdings) Ltd.,106000
Catena Media plc,17530,I.T Limited,126000
Sanchez Energy Corporation,2033925,EP Energy Corp. Class A,264337
"Capricor Therapeutics, Inc.",29938,BioPharmX Corp.,76904
"Duzhe Publishing & Media Co., Ltd.",93800,SEC Carbon Ltd.,500
Diffusion Pharmaceuticals Inc.,39424,Numis Corporation Plc,15418
"Pulmatrix, Inc.",87634,"Renaissance,Incorporated",3000
Dynasty Fine Wines Group Limited,1342000,Koss Corporation,22362
"SunLink Health Systems, Inc.",57952,Red Star Macalline Group Corporation Ltd Class A,27000
Carpetright plc,496022,Corby Spirit and Wine Limited Class A,3331
"ProPhase Labs, Inc.",42027,"Thanachart Capital Public Co., Ltd.",23000
Probi AB (publ),2448,"ItoKuro, Inc.",2800
Hotel Chocolat Group Plc,16021,SURTECO GROUP SE,1689
NNIT A/S,6437,"Raysum Co., Ltd.",4600
Valeura Energy Inc.,30200,Aumann AG,2663
ItoKuro Inc.,3899,Moelis Australia Ltd.,16685
"Cool Holdings, Inc.",43500,Regal Hotels International Holdings Limited,72000
"LAC Co., Ltd.",5598,"Synthesis Energy Systems, Inc.",17519
Fairwood Holdings Limited,24504,"Biomerica, Inc.",16641
Fattal Holdings (1998) Ltd,490,"SigmaTron International, Inc.",16060
"SigmaTron International, Inc.",17501,Hummingbird Resources plc,156000
"Renaissance,Incorporated",4800,"NanoVibronix, Inc.",14171
Exchange Income Corporation,2497,Naked Wines plc,13000
Telford Homes Plc,16638,Regulus Therapeutics Inc.,32503
Red Star Macalline Group Corporation Ltd.,44600,GMO Cloud K.K.,1400
Kentucky First Federal Bancorp (MHC),9399,Kingsway Financial Services Inc,16540
"Cresud Sociedad Anónima Comercial, Inmobiliaria, Financiera y Agropecuaria",11479,Central Pattana Public Co. Ltd.,16600
Basler Aktiengesellschaft,1623,"Tengasco, Inc.",47328
Trio-Tech International,21684,"EyeGate Pharmaceuticals, Inc.",10896
"Red River Bancshares, Inc.",1637,Feintool International Holding AG,602
